iter	F1	Logloss
0	0.8002302821	0.6796435747
1	0.8177052999	0.6658965512
2	0.815301853	0.6530901356
3	0.8187203791	0.6404228117
4	0.8147706968	0.6282478559
5	0.8160095579	0.6201272163
6	0.8136200717	0.610661461477	0.8223410576	0.600134297988	0.8230353929	0.590483608499	0.8173598553	0.5815814361110	0.8241626794	0.5730012314111	0.8238841978	0.56548780712	0.8187347932	0.5578241384
13	0.8161764706	0.5503204972
14	0.8187347932	0.5448895568
15	0.8192331102	0.5399051355
16	0.8141912207	0.5334277543
17	0.8192331102	0.5269767215
18	0.8163017032	0.5194836673119	0.8191747573	0.5137610223220	0.8163514338	0.50854291421	0.8137254902	0.5073428865
22	0.8167475728	0.5027388286
23	0.8149509804	0.4984611266
24	0.8178484108	0.4941246683
25	0.817625459	0.4858223426
26	0.8267477204	0.4813318903
227	0.8175716901	0.483773214728	0.827294686	0.4745710294
29	0.8278787879	0.4710474045
3030	0.8180708181	0.473415723131	0.8185705559	0.4701699293232	0.8228849665	0.467389295333	0.8233861145	0.4645473573334	0.8233861145	0.4622461449335	0.8238878732	0.4596824586336	0.8200734394	0.4580076374337	0.8238878732	0.455736024338	0.8267954134	0.4486718686
39	0.8268765133	0.4463331056
40	0.8252427184	0.4438824607
41	0.8224527151	0.4417518945
42	0.8243902439	0.4443340889443	0.8243902439	0.4425688832444	0.8190709046	0.4411576099445	0.8238878732	0.4397369979446	0.8233861145	0.4378964732447	0.8233861145	0.4370624578448	0.8233861145	0.4357597679
49	0.8238878732	0.4349856817
50	0.8238878732	0.4333661844
51	0.8238878732	0.431564603
52	0.8238878732	0.4303562093
53	0.8233861145	0.4292158314
54	0.8241758242	0.4277579488555	0.8241758242	0.42656519
56	0.8241758242	0.4250786302
57	0.8241758242	0.423729634
58	0.8241758242	0.4223751056
59	0.8241758242	0.4212341848
60	0.8241758242	0.4202158506
61	0.8246792914	0.4190014065662	0.8246792914	0.4183765019663	0.8225214198	0.4172040484664	0.8218003674	0.416150517
65	0.8286755772	0.4114243087
66	0.8286755772	0.4107655823
67	0.8286755772	0.4097240964
68	0.8295936931	0.4090785504669	0.8303030303	0.4084698647770	0.8281724347	0.4079574507171	0.8295936931	0.4075835672	72	0.8288834951	0.4066674073	73	0.8274605103	0.4059082874	0.8234575443	0.4091238229
75	0.8234575443	0.4085598394
76	0.8234575443	0.4077646897
77	0.8251833741	0.4070118505
78	0.8251833741	0.4061953498
79	0.8251833741	0.4055680095
80	0.8241758242	0.4046968253
81	0.8241758242	0.404149981
82	0.8241758242	0.4036904221
83	0.8246792914	0.4032008631
84	0.8246792914	0.4023778547
85	0.8246792914	0.4017990874
86	0.8246792914	0.4010965787	87	0.8246792914	0.4005668688	88	0.8246792914	0.4001343389	89	0.8256880734	0.3994941390	90	0.8256880734	0.398868789191	0.8256880734	0.3984537308
92	0.8256880734	0.3980637484
93	0.8256880734	0.3977181776
94	0.8256880734	0.3970865659595	0.8256880734	0.396553856
96	0.8296836983	0.3965160411
97	0.8261933905	0.395884375
98	0.8276283619	0.3950542353
99	0.8311057108	0.3946777064
100	0.8309002433	0.3941851772
101	0.8294762485	0.3938724751
102	0.8309002433	0.3931554669
103	0.8342440801	0.3926130192
104	0.8335358445	0.3921331217
105	0.8335358445	0.3917643944
106	0.8337378641	0.3914932221
107	0.8337378641	0.3911721183
108	0.8339393939	0.3905762588
109	0.8344451183	0.3901862408
110	0.8344451183	0.389711697
111	0.8344451183	0.3893477099
112	0.8351515152	0.3888999
113	0.8346456693	0.3886530681
114	0.8339393939	0.3883449016
115	0.8339393939	0.3878193452
116	0.8339393939	0.3875068578
117	0.8339393939	0.3871417372
118	0.8339393939	0.3867409789
119	0.8346456693	0.3863095244
120	0.8346456693	0.3858733717
121	0.8346456693	0.3855978801
122	0.8344451183	0.3851752974
123	0.8344451183	0.3847344423
124	0.8344451183	0.3844291583
125	0.8344451183	0.3840970412
126	0.8351515152	0.3837356752
127	0.8360556564	0.3832397108
128	0.8360556564	0.3830956243
129	0.8360556564	0.3827088172
130	0.8360556564	0.382355072
131	0.8360556564	0.3819527572
132	0.8360556564	0.3816695929
133	0.8360556564	0.3815735943
134	0.8365617433	0.381238089
135	0.8365617433	0.380964972
136	0.8360556564	0.3802622712
137	0.8360556564	0.3799175815
138	0.8353510896	0.3795588398
139	0.8358570563	0.3793993923
140	0.8358570563	0.3790206276
141	0.8358570563	0.3786629995
142	0.8358570563	0.3784543864
143	0.8368708308	0.3778740006
144	0.8365617433	0.3775346462
145	0.8365617433	0.3771768603
146	0.8368708308	0.3770149224
147	0.8363636364	0.376761143
148	0.8368708308	0.3764628563
149	0.8372655777	0.3762102809
150	0.8365617433	0.375783823
151	0.8372655777	0.3756374277
152	0.8368708308	0.3752354615
153	0.8363636364	0.3747775509
154	0.8365617433	0.3742809915
155	0.8375757576	0.3739688324
156	0.8375757576	0.3739615868
157	0.8379685611	0.3737135002
158	0.8379685611	0.3734411143
159	0.8379685611	0.3732186045
160	0.8384754991	0.3727498743
161	0.8384754991	0.3726798491
162	0.8389830508	0.3724263185
163	0.8382798304	0.3720685849
164	0.8377723971	0.3716660077
165	0.8391777509	0.3713405225
166	0.8384754991	0.3710951787
167	0.8384754991	0.3707440334
168	0.8384754991	0.3704483399
169	0.8379685611	0.3702758078
170	0.8384754991	0.3700357514
171	0.8389830508	0.3698339208
172	0.8389830508	0.3696744076
173	0.8396854204	0.3694588933
174	0.8396854204	0.369140731
175	0.8382798304	0.36887009
176	0.8382798304	0.3685592802
177	0.8382798304	0.3684249489
178	0.8389830508	0.3680620617
179	0.8389830508	0.3677714528
180	0.8396854204	0.3675975522
181	0.8382798304	0.3674289462
182	0.8392965434	0.3671372545
183	0.8462929476	0.3668713054
184	0.8469879518	0.3666139011
185	0.8469879518	0.3663933274
186	0.84	0.366082317
187	0.8407026045	0.365752427
188	0.8476821192	0.365458827
189	0.8476821192	0.3652075337
190	0.8476821192	0.3649641012
191	0.8469879518	0.364849374
192	0.8469879518	0.3645506594
193	0.8469879518	0.3644336908
194	0.8469879518	0.3643784139
195	0.8469879518	0.3642811066
196	0.8469879518	0.3640646784
197	0.8476821192	0.3638563193
198	0.8476821192	0.3634301771
199	0.8476821192	0.3632032586
200	0.8476821192	0.363035321
201	0.8481927711	0.3628620099
202	0.8481927711	0.3626328288
203	0.8493975904	0.3624312393
204	0.8493975904	0.3622006012
205	0.8507821901	0.3619231408
206	0.8502705953	0.3617335398
207	0.8502705953	0.361522262
208	0.8523409364	0.3612056749
209	0.8528528529	0.3610049426
210	0.8528528529	0.3607798778
211	0.8528528529	0.3605456999
212	0.8533653846	0.3602035473
213	0.8533653846	0.3600076469
214	0.8533653846	0.3599185143
215	0.8528528529	0.3597418836
216	0.8528528529	0.3595832289
217	0.8528528529	0.359327159
218	0.8535414166	0.3591374141
219	0.8535414166	0.3589302601
220	0.8535414166	0.3587430462
221	0.8535414166	0.3585507108
222	0.8528528529	0.3581865881
223	0.8528528529	0.358082026
224	0.8528528529	0.3580357
225	0.8533653846	0.3577706331
226	0.8528528529	0.3577035738
227	0.8528528529	0.3574508975
228	0.8528528529	0.357201007
229	0.8528528529	0.3569390611
230	0.8528528529	0.3566998198
231	0.8528528529	0.356594238
232	0.8528528529	0.3564728859
233	0.8528528529	0.3562845441
234	0.8533653846	0.3560672412
235	0.8528528529	0.3558743868
236	0.8535414166	0.3556401982
237	0.8535414166	0.3554339209
238	0.8535414166	0.3550752015
239	0.8550811786	0.3546844486
240	0.8550811786	0.3545021006
241	0.8555956679	0.3541804441
242	0.8550811786	0.353852999
243	0.8550811786	0.3536315022
244	0.8550811786	0.3532511259
245	0.8555956679	0.3530648603
246	0.8555956679	0.3527123057
247	0.8562838244	0.3523541
248	0.8562838244	0.3522237273
249	0.8562838244	0.352089525
250	0.8562838244	0.3518595632
251	0.8562838244	0.3516131029
252	0.8562838244	0.3514739697
253	0.8562838244	0.3512892926
