iter	Passed	Remaining
0	10	5367
1	18	4681
2	29	4886
3	36	4535
4	45	4519
5	55	4606
6	64	4554
7	74	4563
8	81	4466
9	91	4487
10	101	4490
11	107	4359
12	125	4696
13	132	4602
14	151	4886
15	157	4777
16	164	4664
17	171	4587
18	170	4327
19	176	4246
20	186	4246
21	191	4169
22	209	4350
23	217	4307
24	224	4266
25	230	4198
26	230	4031
27	246	4147
28	247	4025
29	257	4026
30	274	4152
31	280	4096
32	287	4075
33	295	4056
34	306	4067
35	311	4014
36	319	3998
37	326	3972
38	324	3840
39	332	3818
40	339	3803
41	349	3805
42	368	3920
43	377	3912
44	386	3903
45	391	3863
46	401	3870
47	407	3837
48	420	3867
49	430	3874
50	443	3901
51	453	3907
52	458	3866
53	464	3837
54	470	3803
55	478	3795
56	488	3799
57	498	3799
58	509	3804
59	516	3786
60	524	3773
61	536	3787
62	548	3804
63	556	3789
64	553	3705
65	565	3718
66	574	3711
67	581	3696
68	586	3665
69	593	3645
70	600	3629
71	608	3616
72	615	3603
73	621	3578
74	640	3629
75	648	3618
76	656	3608
77	665	3602
78	677	3612
79	682	3585
80	691	3578
81	702	3579
82	708	3557
83	715	3542
84	720	3519
85	728	3505
86	733	3481
87	739	3463
88	749	3459
89	755	3441
90	762	3425
91	770	3415
92	779	3410
93	784	3389
94	792	3377
95	800	3368
96	805	3348
97	814	3341
98	822	3330
99	828	3312
100	833	3294
101	842	3287
102	858	3308
103	873	3324
104	886	3335
105	900	3347
106	914	3357
107	932	3385
108	947	3397
109	966	3427
110	974	3414
111	990	3430
112	1001	3429
113	1013	3431
114	1031	3452
115	1045	3462
116	1063	3482
117	1077	3487
118	1082	3466
119	1091	3456
120	1103	3455
121	1112	3446
122	1119	3432
123	1128	3421
124	1134	3403
125	1144	3396
126	1154	3389
127	1162	3377
128	1172	3372
129	1180	3360
130	1188	3348
131	1197	3338
132	1204	3323
133	1210	3306
134	1218	3294
135	1230	3294
136	1238	3281
137	1245	3266
138	1257	3266
139	1262	3247
140	1271	3236
141	1279	3226
142	1289	3220
143	1296	3205
144	1306	3198
145	1312	3183
146	1318	3167
147	1325	3151
148	1333	3141
149	1342	3131
150	1351	3123
151	1357	3108
152	1369	3105
153	1382	3105
154	1391	3098
155	1403	3095
156	1406	3073
157	1416	3065
158	1427	3060
159	1439	3059
160	1451	3055
161	1460	3046
162	1472	3045
163	1487	3046
164	1497	3040
165	1507	3033
166	1515	3022
167	1524	3013
168	1535	3008
169	1544	2997
170	1554	2990
171	1563	2981
172	1569	2967
173	1574	2950
174	1581	2937
175	1589	2925
176	1595	2910
177	1602	2898
178	1611	2889
179	1621	2882
180	1625	2864
181	1633	2854
182	1638	2838
183	1645	2826
184	1651	2812
185	1660	2802
186	1666	2788
187	1675	2780
188	1682	2768
189	1693	2762
190	1700	2751
191	1705	2736
192	1715	2728
193	1722	2716
194	1725	2698
195	1729	2682
196	1734	2667
197	1739	2653
198	1747	2643
199	1756	2634
200	1763	2623
201	1767	2607
202	1773	2594
203	1777	2579
204	1782	2565
205	1789	2554
206	1797	2544
207	1803	2531
208	1809	2518
209	1815	2506
210	1824	2498
211	1832	2489
212	1840	2479
213	1845	2466
214	1851	2454
215	1858	2443
216	1863	2430
217	1867	2415
218	1873	2404
219	1879	2391
220	1885	2380
221	1892	2370
222	1899	2359
223	1906	2349
224	1912	2337
225	1921	2329
226	1926	2316
227	1933	2306
228	1942	2299
229	1951	2290
230	1958	2280
231	1965	2270
232	1972	2260
233	1977	2248
234	1984	2238
235	1990	2226
236	1997	2216
237	2004	2207
238	2014	2199
239	2019	2187
240	2025	2176
241	2032	2166
242	2037	2154
243	2043	2143
244	2050	2134
245	2055	2122
246	2062	2112
247	2069	2102
248	2077	2094
249	2083	2083
250	2088	2071
251	2094	2061
252	2099	2049
253	2106	2040
254	2115	2032
255	2122	2022
256	2124	2009
257	2132	2000
258	2141	1992
259	2146	1981
260	2154	1972
261	2161	1963
262	2169	1955
263	2178	1947
264	2187	1939
265	2197	1933
266	2203	1922
267	2207	1911
268	2213	1900
269	2217	1888
270	2222	1878
271	2228	1868
272	2234	1857
273	2240	1847
274	2248	1839
275	2255	1830
276	2262	1821
277	2270	1812
278	2276	1803
279	2281	1792
280	2287	1783
281	2296	1774
282	2302	1765
283	2308	1756
284	2317	1748
285	2322	1737
286	2329	1728
287	2334	1718
288	2339	1708
289	2344	1697
290	2349	1687
291	2357	1679
292	2359	1667
293	2368	1659
294	2378	1653
295	2384	1643
296	2388	1632
297	2393	1622
298	2399	1612
299	2404	1603
300	2409	1593
301	2417	1584
302	2423	1575
303	2427	1565
304	2435	1556
305	2440	1547
306	2446	1537
307	2451	1528
308	2456	1518
309	2463	1510
310	2468	1500
311	2475	1491
312	2480	1482
313	2487	1473
314	2494	1465
315	2502	1457
316	2507	1447
317	2514	1439
318	2522	1430
319	2527	1421
320	2533	1412
321	2538	1403
322	2544	1394
323	2551	1386
324	2555	1376
325	2560	1366
326	2564	1356
327	2570	1347
328	2577	1339
329	2583	1330
330	2589	1322
331	2600	1315
332	2606	1306
333	2611	1297
334	2617	1289
335	2624	1281
336	2631	1272
337	2636	1263
338	2641	1254
339	2649	1246
340	2655	1238
341	2662	1230
342	2668	1221
343	2675	1213
344	2679	1204
345	2685	1195
346	2690	1186
347	2697	1178
348	2701	1168
349	2706	1159
350	2713	1152
351	2720	1143
352	2725	1135
353	2737	1129
354	2747	1122
355	2760	1116
356	2775	1111
357	2785	1104
358	2793	1097
359	2808	1092
360	2817	1084
361	2824	1076
362	2833	1069
363	2840	1061
364	2847	1053
365	2857	1046
366	2869	1039
367	2877	1032
368	2884	1023
369	2892	1016
370	2898	1007
371	2906	1000
372	2918	993
373	2926	985
374	2933	977
375	2939	969
376	2944	960
377	2953	953
378	2961	945
379	2967	937
380	2976	929
381	2983	921
382	2991	913
383	2998	905
384	3005	897
385	3013	889
386	3019	881
387	3024	872
388	3031	864
389	3038	857
390	3045	849
391	3054	841
392	3063	834
393	3072	826
394	3080	818
395	3086	810
396	3092	802
397	3097	793
398	3103	785
399	3107	776
400	3114	768
401	3121	760
402	3126	752
403	3131	744
404	3138	736
405	3144	727
406	3150	719
407	3154	711
408	3160	703
409	3165	694
410	3169	686
411	3176	678
412	3183	670
413	3191	662
414	3197	654
415	3203	646
416	3210	639
417	3214	630
418	3219	622
419	3226	614
420	3230	606
421	3236	598
422	3239	589
423	3245	581
424	3251	573
425	3258	566
426	3263	557
427	3267	549
428	3273	541
429	3279	533
430	3284	525
431	3287	517
432	3292	509
433	3299	501
434	3307	494
435	3312	486
436	3319	478
437	3330	471
438	3338	463
439	3344	456
440	3352	448
441	3360	440
442	3366	433
443	3371	425
444	3377	417
445	3387	410
446	3392	402
447	3400	394
448	3412	387
449	3419	379
450	3431	372
451	3442	365
452	3446	357
453	3456	350
454	3463	342
455	3473	335
456	3477	327
457	3486	319
458	3493	312
459	3501	304
460	3506	296
461	3510	288
462	3518	281
463	3524	273
464	3531	265
465	3537	258
466	3544	250
467	3549	242
468	3555	235
469	3565	227
470	3569	219
471	3574	212
472	3586	204
473	3591	197
474	3599	189
475	3604	181
476	3610	174
477	3614	166
478	3620	158
479	3633	151
480	3638	143
481	3645	136
482	3653	128
483	3660	121
484	3667	113
485	3673	105
486	3680	98
487	3688	90
488	3692	83
489	3697	75
490	3704	67
491	3710	60
492	3716	52
493	3721	45
494	3727	37
495	3734	30
496	3738	22
497	3743	15
498	3747	7
499	3753	0
